# effective area (deg^2): 7397.462252
# zmid zlow zhigh nz Ntot Vtot
0.015 0.01 0.02 0.19582756 27321.456 139517.93
0.025 0.02 0.03 0.15448995 57967 375215.35
0.035 0.03 0.04 0.12184518 88186.954 723762.33
0.045 0.04 0.05 0.084960446 100402.18 1181752.1
0.055 0.05 0.06 0.068932329 120341.66 1745794.3
0.065 0.06 0.07 0.062988258 151960.57 2412522.1
0.075 0.07 0.08 0.058895209 187203.88 3178592.7
0.085 0.08 0.09 0.055394481 223831.99 4040691.1
0.095 0.09 0.1 0.041681268 208220.12 4995532.2
0.105 0.1 0.11 0.035980472 217317.15 6039863.7
0.115 0.11 0.12 0.034964241 250710.01 7170469.1
0.125 0.12 0.13 0.032498462 272472.56 8384168
0.135 0.13 0.14 0.031222112 302161.98 9677820.1
0.145 0.14 0.15 0.027497755 303804.2 11048327
0.155 0.15 0.16 0.025095333 313506.8 12492634
0.165 0.16 0.17 0.022962245 321648.91 14007729
0.175 0.17 0.18 0.021412808 333839.58 15590650
0.185 0.18 0.19 0.020002638 344815.06 17238479
0.195 0.19 0.2 0.018492253 350397.71 18948351
0.205 0.2 0.21 0.017071125 353670.22 20717453
0.215 0.21 0.22 0.015371555 346521.2 22543016
0.225 0.22 0.23 0.014347767 350405.98 24422336
0.235 0.23 0.24 0.012969922 341793.06 26352747
0.245 0.24 0.25 0.011383873 322523.92 28331652
0.255 0.25 0.26 0.010530799 319678.23 30356503
0.265 0.26 0.27 0.0096712063 313586.91 32424798
0.275 0.27 0.28 0.0087911354 303594.09 34534116
0.285 0.28 0.29 0.0077733006 285140.7 36682063
0.295 0.29 0.3 0.0067487958 262300.86 38866320
0.305 0.3 0.31 0.0060565052 248829.21 41084619
0.315 0.31 0.32 0.0053920609 233663.6 43334748
0.325 0.32 0.33 0.0047853378 218281.09 45614562
0.335 0.33 0.34 0.0043500413 208462.4 47921935
0.345 0.34 0.35 0.0039260558 197303.33 50254847
0.355 0.35 0.36 0.0034223148 180052.52 52611325
0.365 0.36 0.37 0.0030156642 165829.6 54989412
0.375 0.37 0.38 0.0026866977 154182.19 57387249
0.385 0.38 0.39 0.0023235461 138955.02 59802999
0.395 0.39 0.4 0.0020119684 125214.7 62234925
0.405 0.4 0.41 0.0017113354 110691.39 64681298
0.415 0.41 0.42 0.0014847538 99687.057 67140462
0.425 0.42 0.43 0.0012798034 89088.105 69610774
0.435 0.43 0.44 0.0010857511 78272.612 72090749
0.445 0.44 0.45 0.00091297426 68088.573 74578853
0.455 0.45 0.46 0.00078051017 60156.753 77073632
0.465 0.46 0.47 0.00062415517 49666.284 79573617
0.475 0.47 0.48 0.00051025771 41880.751 82077643
0.485 0.48 0.49 0.00043313322 36636.202 84584141
0.495 0.49 0.5 0.00034440345 29994.817 87092092
