# effective area (deg^2): 4135.125467
# zmid zlow zhigh nz Ntot Vtot
0.805 0.8 0.81 0.00055222497 49551.398 89730454
0.815 0.81 0.82 0.00057379318 52166.554 90915256
0.825 0.82 0.83 0.00058687538 54044.912 92089248
0.835 0.83 0.84 0.00060151209 56092.265 93252098
0.845 0.84 0.85 0.00064930439 61296.572 94403446
0.855 0.85 0.86 0.00064246672 61383.723 95543817
0.865 0.86 0.87 0.00066254644 64049.91 96672333
0.875 0.87 0.88 0.00065378741 63933.601 97789586
0.885 0.88 0.89 0.000664786 65744.059 98895071
0.895 0.89 0.9 0.0006562068 65613.717 99989390
0.905 0.9 0.91 0.0006711182 67830.896 1.0107146e+08
0.915 0.91 0.92 0.00067458373 68903.447 1.0214217e+08
0.925 0.92 0.93 0.00070267533 72516.858 1.0320109e+08
0.935 0.93 0.94 0.00067804943 70685.264 1.0424795e+08
0.945 0.94 0.95 0.00066814369 70344.544 1.0528356e+08
0.955 0.95 0.96 0.00066467861 70659.93 1.0630691e+08
0.965 0.96 0.97 0.00065002057 69759.27 1.0731856e+08
0.975 0.97 0.98 0.00064357915 69711.458 1.0831839e+08
0.985 0.98 0.99 0.0006432145 70307.365 1.0930625e+08
0.995 0.99 1 0.00064993032 71676.194 1.1028289e+08
1.005 1 1.01 0.00065279269 72621.107 1.1124681e+08
1.015 1.01 1.02 0.00064912034 72831.055 1.1219962e+08
1.025 1.02 1.03 0.00064373844 72832.919 1.1314055e+08
1.035 1.03 1.04 0.00059925616 68357.031 1.140698e+08
1.045 1.04 1.05 0.00056925533 65456.977 1.1498702e+08
1.055 1.05 1.06 0.0006046232 70071.529 1.1589289e+08
1.065 1.06 1.07 0.00057716725 67405.584 1.1678692e+08
1.075 1.07 1.08 0.00056722924 66745.648 1.1766962e+08
1.085 1.08 1.09 0.00056087481 66486.428 1.1854059e+08
1.095 1.09 1.1 0.00054576449 65164.307 1.1940005e+08
1.105 1.1 1.11 0.00053715638 64592.104 1.2024823e+08
1.115 1.11 1.12 0.00053017345 64196.057 1.2108501e+08
1.125 1.12 1.13 0.00052455054 63947.996 1.2191008e+08
1.135 1.13 1.14 0.00052746672 64732.977 1.2272429e+08
1.145 1.14 1.15 0.0005287383 65313.619 1.2352731e+08
1.155 1.15 1.16 0.0005198169 64623.106 1.2431898e+08
1.165 1.16 1.17 0.0005288873 66163.546 1.2509952e+08
1.175 1.17 1.18 0.00051442837 64750.662 1.2586915e+08
1.185 1.18 1.19 0.00051318148 64983.207 1.2662812e+08
1.195 1.19 1.2 0.00051195783 65211 1.2737573e+08
1.205 1.2 1.21 0.00050531739 64737.726 1.28113e+08
1.215 1.21 1.22 0.00050188937 64662.912 1.2883898e+08
1.225 1.22 1.23 0.00048030723 62226.16 1.2955491e+08
1.235 1.23 1.24 0.0004912487 63990.089 1.3026007e+08
1.245 1.24 1.25 0.00047856851 62670.772 1.3095465e+08
1.255 1.25 1.26 0.0004814231 63374.006 1.316389e+08
1.265 1.26 1.27 0.00047229014 62490.137 1.3231302e+08
1.275 1.27 1.28 0.00045615156 60657.498 1.3297663e+08
1.285 1.28 1.29 0.0004587601 61304.071 1.3362991e+08
1.295 1.29 1.3 0.00045004086 60428.646 1.3427369e+08
1.305 1.3 1.31 0.00044953959 60646.16 1.3490727e+08
1.315 1.31 1.32 0.00043761437 59310.041 1.3553038e+08
1.325 1.32 1.33 0.00043916911 59790.399 1.3614436e+08
1.335 1.33 1.34 0.00044950213 61468.735 1.3674848e+08
1.345 1.34 1.35 0.00044209438 60718.546 1.3734295e+08
1.355 1.35 1.36 0.00042909644 59184.408 1.3792799e+08
1.365 1.36 1.37 0.00042740802 59197.399 1.3850325e+08
1.375 1.37 1.38 0.00042259631 58769.991 1.3906887e+08
1.385 1.38 1.39 0.00041222535 57557.556 1.3962643e+08
1.395 1.39 1.4 0.00041351225 57963.27 1.4017304e+08
1.405 1.4 1.41 0.00040395139 56840.937 1.4071232e+08
1.415 1.41 1.42 0.00039676358 56039.421 1.4124134e+08
1.425 1.42 1.43 0.00040019823 56732.761 1.4176165e+08
1.435 1.43 1.44 0.00039466254 56150.022 1.422735e+08
1.445 1.44 1.45 0.0003879588 55391.385 1.4277646e+08
1.455 1.45 1.46 0.00037784905 54134.712 1.4327074e+08
1.465 1.46 1.47 0.00037002185 53193.054 1.4375652e+08
1.475 1.47 1.48 0.0003707636 53476.721 1.4423401e+08
1.485 1.48 1.49 0.0003657839 52929.658 1.4470199e+08
1.495 1.49 1.5 0.00028808526 41819.252 1.4516276e+08
1.505 1.5 1.51 0.00027274179 39715.453 1.4561558e+08
1.515 1.51 1.52 0.00025472443 37204.758 1.4605886e+08
1.525 1.52 1.53 0.00025883411 37918.044 1.4649555e+08
1.535 1.53 1.54 0.0002193451 32227.024 1.4692384e+08
1.545 1.54 1.55 0.00023394455 34470.175 1.4734335e+08
1.555 1.55 1.56 0.00023541991 34784.746 1.4775618e+08
1.565 1.56 1.57 0.00023321644 34553.6 1.4816108e+08
1.575 1.57 1.58 0.00024406107 36257.283 1.4855824e+08
1.585 1.58 1.59 0.00023137006 34462.068 1.4894783e+08
1.595 1.59 1.6 0.00020561708 30704.806 1.4933004e+08
