# effective area (deg^2): 5235.121856
# zmid zlow zhigh nz Ntot Vtot
0.405 0.4 0.41 0.00052886448 24208.46 45774411
0.415 0.41 0.42 0.00053722664 25526.184 47514740
0.425 0.42 0.43 0.00052308578 25768.754 49262960
0.435 0.43 0.44 0.00052966834 27022.629 51018017
0.445 0.44 0.45 0.00054043881 28523.727 52778827
0.455 0.45 0.46 0.0005372964 29306.489 54544362
0.465 0.46 0.47 0.00051533421 29020.314 56313580
0.475 0.47 0.48 0.00051765915 30068.573 58085658
0.485 0.48 0.49 0.00051824395 31021.816 59859485
0.495 0.49 0.5 0.00051836861 31949.308 61634342
0.505 0.5 0.51 0.00052874183 33527.118 63409241
0.515 0.51 0.52 0.00051281327 33426.956 65183485
0.525 0.52 0.53 0.00053330115 35707.77 66956108
0.535 0.53 0.54 0.00053244745 36593.235 68726473
0.545 0.54 0.55 0.00053328903 37593.602 70493859
0.555 0.55 0.56 0.00054531561 39403.145 72257504
0.565 0.56 0.57 0.00055204811 40860.781 74016702
0.575 0.57 0.58 0.00053809449 40771.905 75770903
0.585 0.58 0.59 0.00053188993 41231.78 77519385
0.595 0.59 0.6 0.00053772553 42621.003 79261633
0.605 0.6 0.61 0.00054947181 44505.592 80997043
0.615 0.61 0.62 0.00055275786 45726.926 82725057
0.625 0.62 0.63 0.00054026418 45622.721 84445207
0.635 0.63 0.64 0.00053338349 45954.703 86156966
0.645 0.64 0.65 0.00052513071 46137.901 87859841
0.655 0.65 0.66 0.00052551556 47061.746 89553478
0.665 0.66 0.67 0.00052664605 48049.757 91237286
0.675 0.67 0.68 0.0005141025 47765.843 92911127
0.685 0.68 0.69 0.00052089647 49263.359 94574184
0.695 0.69 0.7 0.00051800152 49845.538 96226625
0.705 0.7 0.71 0.00050967291 49880.598 97867863
0.715 0.71 0.72 0.00050190189 49937.862 99497257
0.725 0.72 0.73 0.00050271369 50831.951 1.0111511e+08
0.735 0.73 0.74 0.00050901734 52286.669 1.027208e+08
0.745 0.74 0.75 0.00053026586 55314.085 1.0431387e+08
0.755 0.75 0.76 0.00053011221 56135.967 1.058945e+08
0.765 0.76 0.77 0.00053655143 57659.038 1.0746228e+08
0.775 0.77 0.78 0.00055301947 60288.307 1.0901661e+08
0.785 0.78 0.79 0.00056138227 62065.286 1.1055797e+08
0.795 0.79 0.8 0.00058411027 65470.428 1.1208573e+08
0.805 0.8 0.81 0.00057560551 65388.731 1.1359991e+08
0.815 0.81 0.82 0.00055057221 63370.794 1.1509988e+08
0.825 0.82 0.83 0.00053599596 62489.716 1.1658617e+08
0.835 0.83 0.84 0.00052654817 62163.409 1.1805835e+08
0.845 0.84 0.85 0.00050687748 60579.955 1.1951597e+08
0.855 0.85 0.86 0.00048990999 59259.364 1.209597e+08
0.865 0.86 0.87 0.00046425555 56819.5 1.2238841e+08
0.875 0.87 0.88 0.00044874455 55555.864 1.2380287e+08
0.885 0.88 0.89 0.00043408647 54348.68 1.2520243e+08
0.895 0.89 0.9 0.00040344227 51070.89 1.2658785e+08
0.905 0.9 0.91 0.00039103676 50036.189 1.2795776e+08
0.915 0.91 0.92 0.00035741619 46218.667 1.293133e+08
0.925 0.92 0.93 0.00033607883 43910.011 1.306539e+08
0.935 0.93 0.94 0.00032268762 42588.068 1.3197924e+08
0.945 0.94 0.95 0.00030192327 40243.453 1.3329033e+08
0.955 0.95 0.96 0.00028220358 37980.626 1.3458591e+08
0.965 0.96 0.97 0.00025442557 34567.955 1.3586667e+08
0.975 0.97 0.98 0.00023068187 31633.974 1.3713247e+08
0.985 0.98 0.99 0.00020653075 28580.368 1.3838311e+08
0.995 0.99 1 0.00018681666 26083.258 1.3961955e+08
1.005 1 1.01 0.00016950117 23872.527 1.4083989e+08
1.015 1.01 1.02 0.00015861317 22530.391 1.4204616e+08
1.025 1.02 1.03 0.00014032132 20099.258 1.4323738e+08
1.035 1.03 1.04 0.00012523145 18085.154 1.4441383e+08
1.045 1.04 1.05 0.00011719251 17060.305 1.4557505e+08
1.055 1.05 1.06 0.00010413518 15278.91 1.4672188e+08
1.065 1.06 1.07 9.1775902e-05 13569.41 1.4785374e+08
1.075 1.07 1.08 8.1726467e-05 12174.893 1.4897124e+08
1.085 1.08 1.09 7.3312787e-05 11002.336 1.500739e+08
1.095 1.09 1.1 6.6186499e-05 10004.883 1.5116199e+08
