# BGS z2 [0.2,0.4)  source: catalog weighted-hist dz=0.01
# z  nz
0.20500 1.4969004218e+05
0.21500 1.4409305269e+05
0.22500 1.4224106037e+05
0.23500 1.3564973926e+05
0.24500 1.2515199697e+05
0.25500 1.2104279686e+05
0.26500 1.1669201580e+05
0.27500 1.1112840115e+05
0.28500 1.0193518080e+05
0.29500 9.1858695137e+04
0.30500 8.5861397573e+04
0.31500 7.8553463360e+04
0.32500 7.1635569968e+04
0.33500 6.7152696738e+04
0.34500 6.2629558143e+04
0.35500 5.6547949737e+04
0.36500 5.0882674073e+04
0.37500 4.6304056072e+04
0.38500 4.1035433580e+04
0.39500 3.6665090352e+04
