# ELG z1 [0.8,1.1)  source: catalog weighted-hist dz=0.01
# z  nz
0.80500 2.4637263625e+04
0.81500 2.6006716586e+04
0.82500 2.7021890956e+04
0.83500 2.8015551014e+04
0.84500 3.0508119255e+04
0.85500 3.0533275208e+04
0.86500 3.1821526049e+04
0.87500 3.1723877179e+04
0.88500 3.2782198276e+04
0.89500 3.2616716564e+04
0.90500 3.3704727118e+04
0.91500 3.4178743342e+04
0.92500 3.6028242061e+04
0.93500 3.5018517759e+04
0.94500 3.4993876827e+04
0.95500 3.5076128151e+04
0.96500 3.4853987310e+04
0.97500 3.4510082019e+04
0.98500 3.4819951156e+04
0.99500 3.5563139210e+04
1.00500 3.6003424181e+04
1.01500 3.6308977968e+04
1.02500 3.6250138660e+04
1.03500 3.3927270422e+04
1.04500 3.2710301495e+04
1.05500 3.4938670628e+04
1.06500 3.3539145720e+04
1.07500 3.3383332341e+04
1.08500 3.3013146955e+04
1.09500 3.2465428337e+04
