# LRG z2 [0.6,0.8)  source: catalog weighted-hist dz=0.01
# z  nz
0.60500 3.3649365016e+04
0.61500 3.4550594685e+04
0.62500 3.4345786223e+04
0.63500 3.4616473582e+04
0.64500 3.4961156557e+04
0.65500 3.5699312139e+04
0.66500 3.6416184995e+04
0.67500 3.6136012767e+04
0.68500 3.7432485818e+04
0.69500 3.7841272994e+04
0.70500 3.7684044996e+04
0.71500 3.7726501676e+04
0.72500 3.8495712240e+04
0.73500 3.9645907626e+04
0.74500 4.1864966511e+04
0.75500 4.2650012466e+04
0.76500 4.3663761841e+04
0.77500 4.5694933129e+04
0.78500 4.7003017579e+04
0.79500 4.9545161119e+04
