# QSO z3 [1.8,2.2)  source: catalog weighted-hist dz=0.01
# z  nz
1.80500 7.4685696167e+03
1.81500 7.2463915557e+03
1.82500 7.3367547242e+03
1.83500 7.3985575431e+03
1.84500 7.4514927040e+03
1.85500 7.2146270923e+03
1.86500 6.9995598482e+03
1.87500 7.0547594464e+03
1.88500 7.0762123343e+03
1.89500 7.0714673181e+03
1.90500 7.0774745593e+03
1.91500 6.8587444334e+03
1.92500 7.0287509137e+03
1.93500 6.9287558335e+03
1.94500 6.9565096841e+03
1.95500 6.9711176649e+03
1.96500 6.4611857247e+03
1.97500 6.3316409947e+03
1.98500 6.4240715334e+03
1.99500 6.5028270501e+03
2.00500 6.3649408169e+03
2.01500 6.3200799697e+03
2.02500 6.1741603751e+03
2.03500 6.1931434962e+03
2.04500 6.2219480322e+03
2.05500 6.3695553238e+03
2.06500 6.1095208141e+03
2.07500 6.1275452456e+03
2.08500 5.8761516945e+03
2.09500 5.9600894641e+03
2.10500 5.9104705617e+03
2.11500 6.2313988843e+03
2.12500 5.8717187415e+03
2.13500 5.9339535801e+03
2.14500 5.7183645362e+03
2.15500 5.6224651242e+03
2.16500 5.7172668670e+03
2.17500 5.4066624044e+03
2.18500 5.3240985046e+03
2.19500 5.3699826391e+03
